Mass,Radius,Lambda,Label,Curve_ID
1.823980449920285,10.296643864629159,6.379928894331161,1,Q_43_8
1.8652048700768988,10.307861817196446,5.48995950699458,1,Q_43_8
1.901760953254643,10.306917039589573,4.766845279448159,1,Q_43_8
1.933612348105644,10.294189693543682,4.1756642560025305,1,Q_43_8
1.9607986306231573,10.270366930778327,3.689545396927786,1,Q_43_8
1.9833890273616983,10.236371578720217,3.287894875255376,1,Q_43_8
2.0015172072176606,10.192743309989401,2.954255392939865,1,Q_43_8
2.015345499338404,10.140517198966629,2.6760369246337374,1,Q_43_8
2.0250529963021737,10.080260466995409,2.4430281307680826,1,Q_43_8
2.0308636988221522,10.012994518519323,2.247395872481844,1,Q_43_8
1.15897271412573,14.554113453768013,1113.6531189284356,0,H_44_2
1.2678221321952527,14.395223664962023,649.6945751850981,0,H_44_2
1.3784456808637398,14.242668986055106,383.7153115113946,0,H_44_2
1.4893190545107358,14.08797056132276,229.8887480242547,0,H_44_2
1.5987966612226776,13.935040877273522,139.8730741337377,0,H_44_2
1.7051897335423307,13.775311990721306,86.59322361784807,0,H_44_2
1.8068286179163797,13.605466898916289,54.60991170933605,0,H_44_2
1.9021528655880597,13.426102592428613,35.15260313932906,0,H_44_2
1.9897630661562424,13.235504351248977,23.126156987202275,0,H_44_2
2.068494789497028,13.035463952696526,15.575213318893773,0,H_44_2
2.1374554802768087,12.823756052628067,10.746445659393492,0,H_44_2
2.196057830017161,12.601572307900796,7.604182008330306,0,H_44_2
2.244012582661412,12.372449958521017,5.522427839474573,0,H_44_2
2.2813332866900415,12.136891966039034,4.117252041677939,0,H_44_2
2.3082920293362217,11.897139868516637,3.151541043026409,0,H_44_2
2.3253906381295963,11.655221644692805,2.476098167552969,0,H_44_2
1.1045890290065308,15.381441325394,1660.4719820796406,0,H_44_8
1.2112891161751742,15.254947467028558,1000.6363077740624,0,H_44_8
1.3177091381734738,15.126319076623489,614.0297797848523,0,H_44_8
1.4227706117608272,14.98726750870092,383.0809218315428,0,H_44_8
1.5255453415906566,14.837160442999176,242.59033456658227,0,H_44_8
1.6252350597562752,14.674744062599336,155.74643806830017,0,H_44_8
1.7211169807231916,14.493847475130364,101.29457940540313,0,H_44_8
1.812450190935,14.300560994540598,66.71755157861426,0,H_44_8
1.8984014255628758,14.093947271472693,44.5186819842493,0,H_44_8
1.9779798990626514,13.871634453807637,30.145007506074958,0,H_44_8
2.0500088253902273,13.639237954359501,20.764418846948473,0,H_44_8
2.113204188997675,13.398268149594221,14.59353833745861,0,H_44_8
2.1663232285355223,13.144786856542572,10.49352839326823,0,H_44_8
2.2083613185092403,12.88681903427372,7.746762824069696,0,H_44_8
2.2387053404331443,12.620045744045335,5.880521515881646,0,H_44_8
2.2572297289790098,12.349614696375184,4.597031979931988,0,H_44_8
1.1214166737539368,15.213706891946963,1612.4880360048458,0,H_44_12
1.2218044567556556,15.016219642082662,964.4841114048958,0,H_44_12
1.3226733199127085,14.829192233220502,585.3216933670271,0,H_44_12
1.4226026963054976,14.637711821737279,360.4423876115556,0,H_44_12
1.520132245207554,14.446480310293662,225.8083996046283,0,H_44_12
1.6138018458302619,14.246597738103619,143.55712217084235,0,H_44_12
1.7022343377467608,14.03482555430623,93.04419449250207,0,H_44_12
1.7841564082172323,13.81431891466757,61.457845364177,0,H_44_12
1.8584725110368372,13.58176739604837,41.41764275904722,0,H_44_12
1.9242925500670964,13.338655745115366,28.500653482953666,0,H_44_12
1.980966911382459,13.085582292959623,20.042195101601195,0,H_44_12
2.028084496266711,12.822951032896679,14.411611341687909,0,H_44_12
2.0654825984745164,12.553200915561654,10.601878746332948,0,H_44_12
2.0932372975555658,12.277966304059419,7.982201978466698,0,H_44_12
2.1116273265646957,11.997188144431586,6.149104882408654,0,H_44_12
2.121115789025455,11.715448922172977,4.84840229261178,0,H_44_12
1.1429187997136856,15.613254704324357,1509.0255421061352,0,H_44_15
1.2584491104448954,15.495231852828537,892.521459282933,0,H_44_15
1.3749248607185027,15.379078339309032,537.0897677857422,0,H_44_15
1.4906367545250552,15.256949497974878,328.96819812262515,0,H_44_15
1.6038413456650962,15.127396567746253,205.19947822432434,0,H_44_15
1.7128257725457414,14.97613281462383,130.35027223801077,0,H_44_15
1.8159902920175317,14.810444503102621,84.40662389546351,0,H_44_15
1.91188327901531,14.628333366060653,55.73754927049742,0,H_44_15
1.9992726536243137,14.42672370184275,37.568123321566134,0,H_44_15
2.0771740501834604,14.2066058769278,25.851931273480023,0,H_44_15
2.1448802841044947,13.971118419232544,18.172847462483126,0,H_44_15
2.201958566503293,13.720872235078975,13.055660921748983,0,H_44_15
2.2482526323196392,13.459248474526937,9.590285150551482,0,H_44_15
2.2838649800494255,13.186389728587512,7.200439091912599,0,H_44_15
2.30912078121415,12.906150710706953,5.527682359426885,0,H_44_15
2.3245416181299654,12.62124504245792,4.338991393765645,0,H_44_15
0.6263196666466966,7.638266630628761,427.4217571217202,1,Q_45_1
0.6894074764679841,7.874643891672778,311.4271023123565,1,Q_45_1
0.756231900612138,8.107849972599334,228.2225504014229,1,Q_45_1
0.8265659622672051,8.337032912585263,168.2749649743576,1,Q_45_1
0.9001167959048809,8.561151681153353,124.88082244811066,1,Q_45_1
0.9764926951683415,8.778261655908723,93.30682278664553,1,Q_45_1
1.0552750363930368,8.988194576932274,70.21555507563137,1,Q_45_1
1.1359520139256425,9.189402827269145,53.233451292451726,1,Q_45_1
1.2179443912149872,9.380689912180049,40.67240599961124,1,Q_45_1
1.3006704167210983,9.56175463853278,31.326992727859057,1,Q_45_1
1.3834963928379114,9.731686701403525,24.332110545857134,1,Q_45_1
1.46570464497995,9.88884494346468,19.06144609454625,1,Q_45_1
1.5466872043962574,10.032733506949306,15.06399611091321,1,Q_45_1
1.6258032705427676,10.163432687718295,12.013081700551565,1,Q_45_1
1.7024428082447511,10.280859953491733,9.669045176664552,1,Q_45_1
1.7760149623939723,10.383965765876127,7.855221324988713,1,Q_45_1
1.846018257085045,10.472787696096349,6.441999684350032,1,Q_45_1
1.9120075007329584,10.547742826944123,5.333634468527243,1,Q_45_1
1.9735765025488081,10.6081667839304,4.457811208673618,1,Q_45_1
2.030446444258979,10.65518186197888,3.761630919805061,1,Q_45_1
2.082358512555726,10.688441441075115,3.2041529553363937,1,Q_45_1
2.1291760301468257,10.70884853822144,2.7550247746067735,1,Q_45_1
2.1708015047578932,10.716472190572757,2.390692002561631,1,Q_45_1
2.2072242783763287,10.712408248541012,2.0935366971467633,1,Q_45_1
2.238484819384603,10.696916245417638,1.8496480684162167,1,Q_45_1
2.2646610283477124,10.670866731116742,1.6484759288858148,1,Q_45_1
2.2859226499881418,10.635071870980411,1.4817122980425,1,Q_45_1
2.3024373994383396,10.590187322140578,1.342827663960605,1,Q_45_1
2.3144276895357954,10.536990715181807,1.2267259484363855,1,Q_45_1
2.3221391389420436,10.476286481590845,1.1293487287110027,1,Q_45_1
1.1100017919675482,10.64346734157834,149.89738716759106,1,Q_45_2
1.1898235197195506,10.853793567834051,115.49520576911372,1,Q_45_2
1.2702950416206022,11.050427141075868,89.70594761961854,1,Q_45_2
